             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
       3200919_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200920_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200921_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200922_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200923_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200924_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200925_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200926_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200927_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200928_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200929_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200930_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200931_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200932_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200933_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200934_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
